Date,Month,Year,Price,Open,High,Low,Vol.,Change %
"Feb 18, 2021",February,2021,269.39,270.04,271.89,266.03,15.25M,-1.53%
"Feb 17, 2021",February,2021,273.57,270.03,273.96,269.61,12.76M,-0.15%
"Feb 16, 2021",February,2021,273.97,270.26,276.54,270.19,15.42M,1.28%
"Feb 12, 2021",February,2021,270.5,270.52,271.18,268.34,9.10M,0.04%
"Feb 11, 2021",February,2021,270.39,271.95,273.5,268.59,12.83M,-0.54%
"Feb 10, 2021",February,2021,271.87,272.74,273.73,267.85,14.69M,0.90%
"Feb 09, 2021",February,2021,269.45,266.59,273.3,265.84,14.61M,1.08%
"Feb 08, 2021",February,2021,266.58,268.56,269.81,265,13.76M,-0.57%
"Feb 05, 2021",February,2021,268.1,266.8,269.17,265.67,12.45M,0.60%
"Feb 04, 2021",February,2021,266.49,267.48,268.04,264.03,16.06M,-0.06%
"Feb 03, 2021",February,2021,266.65,265.51,269.17,263.87,14.22M,-0.16%
"Feb 02, 2021",February,2021,267.08,264.52,268.8,263.29,17.32M,1.94%
"Feb 01, 2021",February,2021,262.01,260.07,264.14,255.12,22.91M,1.42%
"Jan 29, 2021",January,2021,258.33,265.3,266.56,254.85,30.39M,-2.52%
"Jan 28, 2021",January,2021,265,277.84,286.69,264.77,37.76M,-2.62%
"Jan 27, 2021",January,2021,272.14,283.1,283.18,268.15,35.35M,-3.51%
"Jan 26, 2021",January,2021,282.05,278.35,285.33,278.05,19.37M,1.45%
"Jan 25, 2021",January,2021,278.01,278.57,280.07,271.78,19.09M,1.28%
"Jan 22, 2021",January,2021,274.5,272.01,278.47,272,21.95M,0.60%
"Jan 21, 2021",January,2021,272.87,269.26,273.6,267.49,20.84M,2.02%
"Jan 20, 2021",January,2021,267.48,268.93,270.32,263.6,25.20M,2.44%
"Jan 19, 2021",January,2021,261.1,256.64,262.19,252.77,28.03M,3.87%
"Jan 15, 2021",January,2021,251.36,247.9,253.86,247.16,24.94M,2.33%
"Jan 14, 2021",January,2021,245.64,253.41,254.95,244.69,29.74M,-2.38%
"Jan 13, 2021",January,2021,251.64,251.27,253.92,249.28,19.53M,0.22%
"Jan 12, 2021",January,2021,251.09,256.63,259.61,250.4,26.45M,-2.24%
"Jan 11, 2021",January,2021,256.84,260.47,263.39,256.11,30.41M,-4.01%
"Jan 08, 2021",January,2021,267.57,268.31,268.95,263.18,18.53M,-0.44%
"Jan 07, 2021",January,2021,268.74,265.55,271.55,264.8,15.79M,2.06%
"Jan 06, 2021",January,2021,263.31,261.11,267.73,260.01,24.35M,-2.83%
"Jan 05, 2021",January,2021,270.97,268.8,272.4,268.71,9.87M,0.75%
"Jan 04, 2021",January,2021,268.94,274.46,274.46,265.25,15.11M,-1.54%
"Dec 31, 2020",December,2020,273.16,272,277.09,269.81,12.90M,0.47%
"Dec 30, 2020",December,2020,271.87,277.73,277.9,271.79,11.80M,-1.77%
"Dec 29, 2020",December,2020,276.78,276.95,280.48,276.33,16.38M,-0.08%
"Dec 28, 2020",December,2020,277,268.88,277.27,265.73,23.30M,3.59%
"Dec 24, 2020",December,2020,267.4,268.88,270.4,266.2,6.70M,-0.26%
"Dec 23, 2020",December,2020,268.11,267.13,272.14,266.3,14.33M,0.38%
"Dec 22, 2020",December,2020,267.09,271.06,271.29,264.73,17.34M,-2.09%
"Dec 21, 2020",December,2020,272.79,272.36,274.52,267.85,16.55M,-1.31%
"Dec 18, 2020",December,2020,276.4,275.77,278,271.14,26.69M,0.70%
"Dec 17, 2020",December,2020,274.48,277.2,280.42,273.63,16.38M,-0.43%
"Dec 16, 2020",December,2020,275.67,274.76,277.86,272.51,15.56M,0.04%
"Dec 15, 2020",December,2020,275.55,275.5,276,267.52,23.98M,0.50%
"Dec 14, 2020",December,2020,274.19,272.98,277.19,271.74,16.38M,0.23%
"Dec 11, 2020",December,2020,273.55,274.53,276.48,270.25,14.39M,-1.29%
"Dec 10, 2020",December,2020,277.12,275.27,278.72,271.89,20.07M,-0.29%
"Dec 09, 2020",December,2020,277.92,282.71,287.58,272.28,25.19M,-1.93%
"Dec 08, 2020",December,2020,283.4,285.9,285.99,281.57,10.75M,-0.76%
"Dec 07, 2020",December,2020,285.58,278.32,288.44,278.26,13.01M,2.10%
"Dec 04, 2020",December,2020,279.7,280.3,283.46,279.3,10.88M,-0.76%
"Dec 03, 2020",December,2020,281.85,286.15,286.61,281.13,12.92M,-1.97%
"Dec 02, 2020",December,2020,287.52,285.37,291.66,280.94,17.36M,0.34%
"Dec 01, 2020",December,2020,286.55,279.12,289.26,279.06,20.78M,3.46%
"Nov 30, 2020",November,2020,276.97,276.03,277.7,271.01,16.55M,-0.30%
"Nov 27, 2020",November,2020,277.81,277.39,279.13,274.82,7.81M,0.81%
"Nov 25, 2020",November,2020,275.59,278.14,280.18,272.65,12.47M,-0.48%
"Nov 24, 2020",November,2020,276.92,268.48,277.79,267.94,16.93M,3.16%
"Nov 23, 2020",November,2020,268.43,270.69,270.69,264.55,20.99M,-0.47%
"Nov 20, 2020",November,2020,269.7,272.56,273,269.41,18.12M,-1.19%
"Nov 19, 2020",November,2020,272.94,271.02,273.47,269.25,12.96M,0.36%
"Nov 18, 2020",November,2020,271.97,274.09,277.38,271.97,12.15M,-1.10%
"Nov 17, 2020",November,2020,275,277,277.34,273.37,15.04M,-1.42%
"Nov 16, 2020",November,2020,278.96,275.33,279,274.65,12.97M,0.73%
"Nov 13, 2020",November,2020,276.95,277.72,277.76,273.1,10.40M,0.68%
"Nov 12, 2020",November,2020,275.08,277.34,279.7,274.51,12.91M,-0.51%
