"Date","Price","Open","High","Low","Change %"
"Oct 16, 2020","6.6148","6.5733","6.6249","6.5629","0.68%"
"Oct 15, 2020","6.5701","6.5694","6.6119","6.5390","0.04%"
"Oct 14, 2020","6.5674","6.5426","6.5883","6.5117","0.41%"
"Oct 13, 2020","6.5406","6.5346","6.6088","6.5082","0.09%"
"Oct 12, 2020","6.5345","6.5378","6.5426","6.5196","-0.10%"
"Oct 09, 2020","6.5413","6.5855","6.6133","6.5135","-0.62%"
"Oct 08, 2020","6.5820","6.5999","6.6300","6.5559","-0.23%"
"Oct 07, 2020","6.5970","6.5646","6.6336","6.5345","0.54%"
"Oct 06, 2020","6.5616","6.5694","6.5985","6.4653","-0.08%"
"Oct 05, 2020","6.5671","6.6585","6.6895","6.5354","-1.39%"
"Oct 02, 2020","6.6595","6.6317","6.6701","6.5694","0.45%"
"Oct 01, 2020","6.6297","6.5772","6.6543","6.5555","0.83%"
"Sep 30, 2020","6.5752","6.6180","6.6403","6.5507","-0.62%"
"Sep 29, 2020","6.6159","6.6064","6.6523","6.5585","0.21%"
"Sep 28, 2020","6.6022","6.4739","6.6153","6.4355","2.06%"
"Sep 25, 2020","6.4691","6.4303","6.4928","6.4062","0.61%"
"Sep 24, 2020","6.4300","6.5253","6.5430","6.4134","-1.42%"
"Sep 23, 2020","6.5224","6.4061","6.5301","6.3865","1.86%"
"Sep 22, 2020","6.4032","6.3730","6.4330","6.3260","0.51%"
"Sep 21, 2020","6.3707","6.3858","6.4705","6.3321","-0.09%"
"Sep 18, 2020","6.3766","6.2084","6.3938","6.1983","2.73%"
"Sep 17, 2020","6.2071","6.1900","6.2485","6.1474","0.31%"
"Sep 16, 2020","6.1878","6.2526","6.2699","6.1632","-0.96%"
"Sep 15, 2020","6.2480","6.2559","6.2864","6.2000","-0.10%"
"Sep 14, 2020","6.2544","6.3029","6.3246","6.2407","-0.73%"
"Sep 11, 2020","6.3002","6.2874","6.3284","6.2301","0.23%"
"Sep 10, 2020","6.2857","6.2643","6.3172","6.2641","0.34%"
"Sep 09, 2020","6.2643","6.3151","6.3216","6.2304","-0.77%"
"Sep 08, 2020","6.3127","6.2628","6.3752","6.2418","0.80%"
"Sep 07, 2020","6.2624","6.2712","6.2799","6.2598","-0.18%"
"Sep 04, 2020","6.2735","6.2713","6.3106","6.2007","0.06%"
"Sep 03, 2020","6.2698","6.3327","6.3502","6.2496","-0.96%"
"Sep 02, 2020","6.3306","6.4278","6.4410","6.3288","-1.49%"
"Sep 01, 2020","6.4266","6.5562","6.5902","6.3639","-1.95%"
"Aug 31, 2020","6.5545","6.4122","6.5699","6.4038","2.20%"
"Aug 28, 2020","6.4135","6.5850","6.6398","6.4100","-2.58%"
"Aug 27, 2020","6.5832","6.6332","6.6459","6.5581","-0.75%"
"Aug 26, 2020","6.6331","6.5192","6.6649","6.4976","1.76%"
"Aug 25, 2020","6.5183","6.6177","6.6453","6.5150","-1.42%"
"Aug 24, 2020","6.6125","6.6238","6.6572","6.5784","-0.23%"
"Aug 21, 2020","6.6278","6.5908","6.6391","6.5396","0.58%"
"Aug 20, 2020","6.5898","6.5800","6.7101","6.5648","0.18%"
"Aug 19, 2020","6.5779","6.5234","6.5850","6.4858","0.86%"
