Date,Month,Year,Price,Open,High,Low,Vol.,Change %
"Apr 03, 2020",April,2020,1906.59,1911.15,1926.33,1889.15,3.61M,-0.64%
"Apr 02, 2020",April,2020,1918.83,1901.64,1927.53,1890,4.34M,0.58%
"Apr 01, 2020",April,2020,1907.7,1932.97,1944.96,1893,4.12M,-2.16%
"Mar 31, 2020",March,2020,1949.72,1964.35,1993.02,1944.01,5.12M,-0.72%
"Mar 30, 2020",March,2020,1963.95,1922.83,1973.63,1912.34,6.13M,3.36%
"Mar 27, 2020",March,2020,1900.1,1930.86,1939.79,1899.92,5.39M,-2.83%
"Mar 26, 2020",March,2020,1955.49,1902,1956.49,1889.29,6.24M,3.69%
"Mar 25, 2020",March,2020,1885.84,1920.69,1950.26,1885.78,6.48M,-2.80%
"Mar 24, 2020",March,2020,1940.1,1951.49,1955,1900.34,7.15M,1.96%
"Mar 23, 2020",March,2020,1902.83,1827.75,1919.4,1812,7.81M,3.07%
"Mar 20, 2020",March,2020,1846.09,1926.31,1957,1820.73,9.82M,-1.85%
"Mar 19, 2020",March,2020,1880.93,1860,1945,1832.65,10.40M,2.78%
"Mar 18, 2020",March,2020,1830,1750,1841.66,1745,9.65M,1.23%
"Mar 17, 2020",March,2020,1807.84,1775.47,1857.78,1689.24,10.92M,7.03%
"Mar 16, 2020",March,2020,1689.15,1641.51,1759.45,1626.03,8.92M,-5.37%
"Mar 13, 2020",March,2020,1785,1755,1786.31,1680.62,8.81M,6.46%
"Mar 12, 2020",March,2020,1676.61,1721.98,1765,1675,11.35M,-7.92%
"Mar 11, 2020",March,2020,1820.86,1857.85,1871.32,1801.5,5.65M,-3.75%
"Mar 10, 2020",March,2020,1891.82,1870.88,1894.27,1818.17,7.13M,5.07%
"Mar 09, 2020",March,2020,1800.61,1773.86,1862.77,1761.29,7.81M,-5.29%
"Mar 06, 2020",March,2020,1901.09,1875,1910.87,1869.5,5.27M,-1.19%
"Mar 05, 2020",March,2020,1924.03,1933,1960.72,1910,4.75M,-2.62%
"Mar 04, 2020",March,2020,1975.83,1946.57,1978,1922,4.77M,3.50%
"Mar 03, 2020",March,2020,1908.99,1975.37,1996.33,1888.09,7.53M,-2.30%
"Mar 02, 2020",March,2020,1953.95,1906.49,1954.51,1870,6.76M,3.73%
"Feb 28, 2020",February,2020,1883.75,1814.63,1889.76,1811.13,9.49M,-0.03%
"Feb 27, 2020",February,2020,1884.3,1934.38,1975,1882.76,8.14M,-4.81%
"Feb 26, 2020",February,2020,1979.59,1970.28,2014.67,1960.45,5.24M,0.35%
"Feb 25, 2020",February,2020,1972.74,2026.42,2034.6,1958.42,6.22M,-1.82%
"Feb 24, 2020",February,2020,2009.29,2003.18,2039.3,1987.97,6.55M,-4.14%
"Feb 21, 2020",February,2020,2095.97,2142.15,2144.55,2088,4.65M,-2.65%
"Feb 20, 2020",February,2020,2153.1,2173.07,2176.79,2127.45,3.13M,-0.79%
"Feb 19, 2020",February,2020,2170.22,2167.8,2185.1,2161.12,2.56M,0.67%
"Feb 18, 2020",February,2020,2155.67,2125.02,2166.07,2124.11,2.95M,0.97%
"Feb 14, 2020",February,2020,2134.87,2155.68,2159.04,2125.89,2.61M,-0.70%
"Feb 13, 2020",February,2020,2149.87,2144.99,2170.28,2142,3.03M,-0.47%
"Feb 12, 2020",February,2020,2160,2163.2,2180.25,2155.29,3.33M,0.43%
"Feb 11, 2020",February,2020,2150.8,2150.9,2185.95,2136,5.75M,0.79%
"Feb 10, 2020",February,2020,2133.91,2085.01,2135.6,2084.96,5.06M,2.63%
"Feb 07, 2020",February,2020,2079.28,2041.99,2098.53,2038.1,5.10M,1.42%
"Feb 06, 2020",February,2020,2050.23,2041.02,2056.3,2024.8,3.18M,0.51%
"Feb 05, 2020",February,2020,2039.87,2071.02,2071.02,2032,4.38M,-0.48%
"Feb 04, 2020",February,2020,2049.67,2029.88,2059.8,2015.37,5.29M,2.27%
"Feb 03, 2020",February,2020,2004.2,2010.6,2048.5,2000.25,5.90M,-0.23%
"Jan 31, 2020",January,2020,2008.72,2051.47,2055.72,2002.27,15.57M,7.38%
"Jan 30, 2020",January,2020,1870.68,1858,1872.87,1850.61,6.33M,0.68%
"Jan 29, 2020",January,2020,1858,1864,1874.75,1855.02,2.10M,0.26%
"Jan 28, 2020",January,2020,1853.25,1840.5,1858.11,1830.02,2.81M,1.36%
"Jan 27, 2020",January,2020,1828.34,1820,1841,1815.34,3.53M,-1.79%
"Jan 24, 2020",January,2020,1861.64,1891.37,1894.99,1847.44,3.77M,-1.22%
"Jan 23, 2020",January,2020,1884.58,1885.11,1889.97,1872.76,2.48M,-0.15%
"Jan 22, 2020",January,2020,1887.46,1896.09,1902.5,1883.34,3.22M,-0.24%
"Jan 21, 2020",January,2020,1892,1865,1894.27,1860,3.71M,1.46%
"Jan 17, 2020",January,2020,1864.72,1885.89,1886.64,1857.25,4.00M,-0.70%
"Jan 16, 2020",January,2020,1877.94,1882.99,1885.59,1866.02,2.66M,0.85%
"Jan 15, 2020",January,2020,1862.02,1872.25,1878.86,1855.09,2.90M,-0.40%
"Jan 14, 2020",January,2020,1869.44,1885.88,1887.11,1858.55,3.45M,-1.16%
"Jan 13, 2020",January,2020,1891.3,1891.31,1898,1880.8,2.79M,0.43%
"Jan 10, 2020",January,2020,1883.16,1905.37,1906.94,1880,2.86M,-0.94%
"Jan 09, 2020",January,2020,1901.05,1909.89,1917.82,1895.8,3.17M,0.48%
"Jan 08, 2020",January,2020,1891.97,1898.04,1911,1886.44,3.51M,-0.78%
"Jan 07, 2020",January,2020,1906.86,1904.5,1913.89,1892.04,4.13M,0.21%
"Jan 06, 2020",January,2020,1902.88,1860,1903.69,1860,4.07M,1.49%
"Jan 03, 2020",January,2020,1874.97,1864.5,1886.2,1864.5,3.77M,-1.21%
"Jan 02, 2020",January,2020,1898.01,1875,1898.01,1864.15,4.04M,2.72%
"Dec 31, 2019",December,2019,1847.84,1842,1853.26,1832.23,2.51M,0.05%
"Dec 30, 2019",December,2019,1846.89,1874,1884,1840.62,3.68M,-1.23%
